Year,India,China,USA
1960,,,
1961,2.17128994,7.040823235,41.33427808
1962,2.88576899,9.598448109,46.72553669
1963,3.45399124,12.11820841,51.06483422
1964,4.90198565,16.32831897,55.0294808
1965,4.95904333,25.41529212,61.03819904
1966,6.93990794,36.46042686,69.24350582
1967,9.63199399,26.56776405,76.2348038
1968,10.9996314,26.68593544,76.85677818
1969,12.3893584,34.54585231,76.13479994
1970,14.054559,44.04049287,80.63532546
1971,16.6303613,45.83174418,82.87535888
1972,17.2792878,52.91116265,85.72313082
1973,17.6256178,65.28871192,91.54384325
1974,15.9336475,56.17380967,88.70377917
1975,21.5882549,70.0672898,95.64874292
1976,21.0839396,65.77711601,105.1948791
1977,26.5076299,93.75404184,102.81233
1978,31.4324396,111.7145473,104.8853249
1979,32.2612026,134.7493112,110.1793192
1980,33.9727609,158.1728538,112.8309808
1981,37.3489982,155.332192,106.9980337
1982,35.9304363,160.034163,93.24290358
1983,40.7756311,172.4491212,98.80413618
1984,48.8907089,174.8448721,105.1617853
1985,52.9864253,142.9966483,98.55976657
1986,58.8559994,142.907111,93.14965483
1987,51.1179192,187.637111,94.8042593
1988,66.0964708,208.2530512,95.62842739
1989,69.210771,206.925085,98.80015604
1990,73.5230241,219.0993003,100.4412823
1991,77.9993198,236.2427815,100.7972785
1992,74.7016644,236.3347955,102.8030394
1993,76.1767372,205.6421988,108.8855303
1994,83.4558929,237.6702677,108.0577016
1995,85.7028553,295.9246137,108.7728004
1996,89.0423288,299.8866591,112.8720826
1997,100.172561,297.8395236,113.8628603
1998,104.067952,299.3979452,112.3411025
1999,112.17102,304.4963326,111.8602263
2000,103.786118,285.9447796,108.7514593
2001,108.182199,293.9154878,110.1302646
2002,100.329055,335.8142059,112.5172781
2003,105.177204,330.8037479,120.204496
2004,115.27151,354.4306033,121.6080303
2005,127.614592,376.8997004,117.7752144
2006,136.403922,376.7396838,123.438462
2007,142.835226,387.1512987,123.3453228
2008,153.349391,374.2178454,113.3994097
2009,167.457296,385.4265002,107.7355458
2010,179.035877,424.4187755,115.7948915
2011,180.748291,440.8322592,128.3608613
2012,163.122022,450.8029431,132.6729487
2013,156.495698,449.0524477,134.9636578
2014,163.498079,464.8275736,132.3572944
2015,171.034933,464.6199489,127.7443986
2016,165.89799,463.187015,129.3097644
2017,170.001151,421.4677499,131.9909973
2018,175.015344,393.2154566,128.7651689
2019,,,
2020,,,
