Year,India,China,USA
1960,,,
1961,153.9834046,193.6170213,92.01639943
1962,160.0741963,175.1504425,93.6281842
1963,166.3954086,160.2827763,92.34558449
1964,206.6109077,141.3996627,92.10360745
1965,219.9675347,136.4064955,90.53684095
1966,242.0497031,142.7091328,93.20078283
1967,252.4192226,146.4964693,94.64234941
1968,226.835867,200.5952381,97.61474177
1969,207.6915016,174.7484909,97.56266306
1970,212.7663587,167.2485769,96.38804326
1971,214.3444937,141.8577198,98.07013032
1972,199.8772386,132.6390293,96.44816468
1973,206.5264843,132.5612014,96.452858
1974,169.5414416,124.6523586,96.63358714
1975,191.1582864,123.075265,97.88602376
1976,145.6002045,115.9263272,102.153906
1977,160.3149724,120.9228121,101.2129065
1978,173.0522766,120.2435649,94.64398848
1979,175.4767214,119.1258025,92.39780256
1980,183.0532028,121.0048292,91.10412705
1981,148.0293889,118.6384278,104.9164356
1982,132.3514811,122.6189319,97.35724734
1983,145.0326086,129.6256618,94.55636407
1984,152.2496671,131.860216,88.43471256
1985,150.1416794,125.165702,101.7096706
1986,135.5644178,121.1980438,81.85634361
1987,116.2623306,132.9475541,77.47429597
1988,119.2327591,142.4683943,75.84208096
1989,132.1186771,138.5053434,79.18593958
1990,132.5024934,142.3656531,76.84509263
1991,128.7514621,147.9987625,73.01668028
1992,124.3916894,140.7079893,73.84392824
1993,135.2755684,126.0815388,78.09502708
1994,129.2829378,134.7472655,75.90992
1995,122.3239122,140.3593068,77.30150959
1996,128.1567469,132.8667244,74.94354603
1997,122.9849385,132.9052679,83.46689798
1998,122.8659943,125.9136913,84.86115541
1999,126.0896844,123.6014028,95.38296207
2000,113.6874603,119.973872,106.1527956
2001,118.5945931,118.1251874,102.8112413
2002,113.401275,126.6816675,109.3108222
2003,119.9610551,113.2319939,126.1506592
2004,121.4863244,110.5477872,122.7580813
2005,132.8960089,115.1949271,120.3749477
2006,152.5510538,110.0687809,124.8980668
2007,172.230339,101.1678361,120.4238861
2008,188.9650179,98.62345881,122.9175878
2009,181.2310086,96.10379603,122.63736
2010,171.4917641,93.47178232,119.5191881
2011,171.1962371,93.93347402,129.1715603
2012,159.5402789,94.41666903,131.4242682
2013,149.517842,93.16043396,134.7097975
2014,154.5461136,87.89423269,133.2838045
2015,149.4416731,85.22610059,129.4890092
2016,144.72852,88.13968095,127.1828083
2017,146.530556,90.06735858,125.0855204
2018,152.7011876,90.06261805,118.1038928
2019,,,
2020,,,
